Date,Source,Party,District,Candidate,Speech
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,UTGRC friends from Sambawang GRC and Sambawang West
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,SMC ladies and gentlemen good evening
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,let me begin my speech tonight by saying a few words first in Malay followed by
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Mandarin and in English
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,say bahasa tapi
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,sid bahanti kana s
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,mahan and samoa
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,saya dalan Ramadan busu 967 kin
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Woodland Health Campusing Mallen
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Stadium Sa
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Magus Burkin Sapoi Unu and
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Master Sama Itula Janji
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Serila Sang Ini [Music]
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,[Applause]
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Fore e cuff
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,[Applause]
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,foreign speech
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,fore growth
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,forming
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,to my dearest Worth residents good evening tonight I stand here feeling
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,very grateful grateful for your trust your partnership and your belief in me
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,in PAP and in what we have achieved together today and thus
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,far for the past five years we have welcome many changes in Woodrove you
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,have empowered me to ensure that essentials of providing a better home for you through improvement projects
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,with added amenities are being carried out timely i have on many numerous occasions spoken
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,introductions of shared parental leave to launching our new bus 967 earlier
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,this year connecting all of us here to join us here this
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,evening to Wulen Stadium over the years many of you have
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,become my friends my comrades working with me on the ground
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,hand in hand together to support me and to serve our residents
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,together i cherish all of your trust with great humility
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,into actions and co-created an active and vibrant community in Woodrow we are
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,stronger together this election is never just about me but
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,about you and about us together in Marling UT in
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Singapore you will ask me what will the next five years be in
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Woodrow with me and with the PAP to the aspiring parents to be and
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,the families with young children i said I will continue to be your strong ally
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,and create a wood group that is made for
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,families through our seniors i say lifts will be installed at overhead
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,bridges to allow you to travel across to places such as Marling Mall and Woodland
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Stadium
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,and I promise you to better equip you to stay active happy and healthy to enjoy
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,your golden years to the youth I say I hear
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,life come join me and we will fulfill our hopes and our aspirations of making
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Singapore in making Marlin a home for you for me and for all of us
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,[Applause] here to my dearest Woodrow residents I
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,say our journey is an unfinished one with your continued support as your PAP
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,candidate if elected I pledge to remain your voice in the
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,parliament be your ally in tough times and be your partner in celebrating
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,moments of joy together we can build on our progress and bring the plans we have
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,co-created to life in the months and years ahead from estate upgrading to
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,improving your connectivity and provision of better infrastructures and amenities so let us all stay united keep
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,moving forward confidently and optimistically please give me the honor
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,of serving you again [Applause]
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,let's shape a future we can all be proud of in wood growth in massing
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,UTGRC in Singapore majura Singapura Majula P thank you everyone
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,dear residents of Sbang West residents of Sangong
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,GRC residents of Marley UT and all our friends from Singapore
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,very good evening to all of you
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,a dependable leader a committed voice a dedicated champion for your
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,concerns this is the kind of person who you want to be in parliament who deserve
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,who you deserve to be in parliament and this is the kind of person who I have strove to be in the
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,last five years and I want to continue to
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,be in chapter 2 for Sambang
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,[Applause] West for the past five years I've walked
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,with you i've listened to you i have brought your voices to parliament i
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,fought for the issues that matter for you most from upgrading infrastructure
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,to improve public health care to supporting
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,seniors to creating more opportunities for our young people
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,chapter one was about listening to all your feedback hitting the ground running
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,laying the foundation with many improvements and that was only in
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,chapter one chapter two is about building on
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,that momentum together what you're voting for in this
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,GE is for chapter two and we have made real progress
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,"together i have met and assisted more than 10,000 residents over the past five"
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,years we have held more than 500 community events and more than 140
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,events for our seniors we started 16 sports clubs and
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,also more than 30 weekly exercise programs
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,we have planted close to 100 trees organized sustainability programs
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,including recycling drives and also distribution of rescue foods and
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,vegetables we have implemented project Robbakia reducing deni cases from more
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,than a few hundreds in 2022 to almost zero today
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,[Music] and we've built And we've built dedicated cycling
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,paths along Woodlands Avenue 9 and now around Woodland Circle to keep our
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,pedestrians safe these are just some of the examples of improvements we have
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,made sambawang is now much more vibrant safer and more connected
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,but there is still more work to be done my focus moving forward is
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,clear one renewing and upgrading our homes that's coming to 30 years old and
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,our shared spaces to enhancing our support for our seniors
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,including opening two new senior activity centers soon that's closer to
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,your homes three expanding outdoor programs for our
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,young children our youth so that we can engage them more
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,meaningfully and also keep them away from screen time and
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,four strengthening our mental wellness for our residents across the
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,community and of course we continue to make Sbang West a caring and healthy
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,community and a safe and also green neighborhood for
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,everyone
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,my dear Singaporeans this upcoming election is
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,happening at a critical moment the world is changing this global
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,uncertainty potential recession potential increasing
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,unemployment and these are all serious concerns and challenges for Singapore
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,some say now is not the time for experiment now is the time to play it
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,safe but I say now is a time where we need to have bold ideas and now is the
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,time for us to take risks because as a small country like Singapore this is the
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,way and only way that we can overcome this looming crisis ahead of us
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,[Applause] but this must be done by a team that has
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,done it before and a team that has the best interest of our Singaporeans at
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,heart not just reckless populists the PAP
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,government has time and again taken big risks in our history so as to secure the
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,peace and prosperity of Singaporeans and each time we have
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,imaged better and stronger we have seen this in 1965 we
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,have seen this in 1997 we've seen this in 2003 we've seen this in
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,2008 and of course we've seen it all together in the recent COVID pandemic
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,[Applause] my opponent and his party may offer bold
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,promises such as reducing GST to 5%
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,introducing minimum wage and calling for
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,reducing foreign PMEs sharply but they don't explain how these
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,proposals can be funded who would pay for this and more
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,importantly what would be the long-term impact on our economy and our
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,jobs let's be honest money don't fall from the sky
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,[Applause] reducing GST without an alternative source of revenue would just
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,mean we have to raise taxes from elsewhere
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,today 50% of Singaporeans do not pay income
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,tax so if we have to reduce GST to
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,5% that means our residents would have to pay more income taxes is this what
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,you want [Applause]
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,[Music] clearly we need practical we need
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,balanced we need wellthoughtout policies to run this country
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,well not populist sound bites
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,as your MP my commitment has always been to speak up for you to act in your best
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,interest and also to deliver on what I had promised not just during campaign season
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,but every
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,day and I'm proud to have the support and infrastructure of all people actions
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,party which gives me the ability to turn plans into real action on ground for
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,Sambawang West chapter 2 is not just about
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,continuing what we have done but it's about dreaming bigger it's about
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,reaching higher and making lives better for every
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,resident on 3rd May i humbly ask for your support and
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,your mandate is not just for me it's for the future we are building together
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,let's keep Sawang West moving forward let's continue on this journey
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,together as a community as a family and let's continue to build some West like
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,the Singapore that we are building together
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,[Music] [Applause] with your support let's write the chapter two of Sambawang West
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Sembawang West SMC,Po Li Shan,together thank you majula Sambang West Majula Pip and Majula Singapura
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Alex Yam,good evening everyone good evening friends of mingling
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Alex Yam,UT Sambawang West and Sambawang
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Alex Yam,GRC let me first begin in
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Alex Yam,Mandrin
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Alex Yam,So dear residents and friends once again a good evening to all of you
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Alex Yam,yesterday at the nomination center we had an interesting exchange with a
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Alex Yam,candidate from the opposition after all the formalities were over he turned to us and he said
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Alex Yam,"and I paraphrase ""Look we are not here to rock the boat the government has done"
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Alex Yam,good work we are just standing for
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Alex Yam,"democracy."" Now I appreciate his honesty it was a respectful exchange it was a"
